Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date
2018-19,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.3,1.29
2018-19,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.92,2.99
2018-19,2,Line Operations - Victoria Line,Excess Journey Time - Trains,1.02,0.92
2018-19,2,London Underground Network,Excess Journey Time - Total,4.43,4.4
2018-19,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.91,1.64
2018-19,3,Line Operations - Central Line,Excess Journey Time - Trains,3.31,2.85
2018-19,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.51,2.96
2018-19,3,Line Operations - District Line,Excess Journey Time - Trains,2.38,2.81
2018-19,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.72,1.45
2018-19,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.71,1.84
2018-19,3,Line Operations - Northern Line,Excess Journey Time - Trains,0.85,1.14
2018-19,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.15,3.04
2018-19,3,Line Operations - Victoria Line,Excess Journey Time - Trains,1.43,1.09
2018-19,3,London Underground Network,Excess Journey Time - Total,4.25,4.35
2018-19,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.64,1.64
2018-19,4,Line Operations - Central Line,Excess Journey Time - Trains,3.61,3.04
2018-19,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.69,3.14
2018-19,4,Line Operations - District Line,Excess Journey Time - Trains,3.59,3.01
2018-19,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.07,1.35
2018-19,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.86,1.84
2018-19,4,Line Operations - Northern Line,Excess Journey Time - Trains,0.87,1.08
2018-19,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.64,3.19
2018-19,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.09,1.09
2018-19,4,London Underground Network,Excess Journey Time - Total,4.75,4.45
2018-19,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.39,1.59
2018-19,5,Line Operations - Central Line,Excess Journey Time - Trains,2.54,2.94
2018-19,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.11,3.14
2018-19,5,Line Operations - District Line,Excess Journey Time - Trains,3.06,3.02
2018-19,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.25,1.33
2018-19,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.82,1.84
2018-19,5,Line Operations - Northern Line,Excess Journey Time - Trains,0.69,1
2018-19,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.97,3.15
2018-19,5,Line Operations - Victoria Line,Excess Journey Time - Trains,0.84,1.04
2018-19,5,London Underground Network,Excess Journey Time - Total,4.05,4.37
2018-19,6,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.21,1.53
2018-19,6,Line Operations - Central Line,Excess Journey Time - Trains,1.93,2.77
2018-19,6,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.18,2.98
2018-19,6,Line Operations - District Line,Excess Journey Time - Trains,2.48,2.93
2018-19,6,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.66,1.22
